S.No,Year,Month,State,Occupation,Item,Men,Women
1572,2025-2026,Mar,"MADHYA PRADESH",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",374.47,@
1573,2024-2025,Mar,"MADHYA PRADESH",Agriculture,"Ploughing/Tilling workers",317.87,244.29
1574,2024-2025,Mar,"MADHYA PRADESH",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",291.59,260.08
1575,2024-2025,Mar,"MADHYA PRADESH",Agriculture,"Harvesting/Winnowing/Threshing workers
",300.45,261.85
1576,2024-2025,Mar,"MADHYA PRADESH",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",295.45,256.36
1577,2024-2025,Mar,"MADHYA PRADESH",Agriculture,"Horticulture workers (including nursery growers)
",255.00,227.00
1578,2024-2025,Mar,"MADHYA PRADESH",Agriculture,"Fishermen-inland
",@,-
1579,2024-2025,Mar,"MADHYA PRADESH",Agriculture,"Fishermen-coastal/deep-sea
",-,-
1580,2024-2025,Mar,"MADHYA PRADESH",Agriculture,"Loggers and wood cutters
",268.57,@
1581,2024-2025,Mar,"MADHYA PRADESH",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",231.75,202.50
1582,2024-2025,Mar,"MADHYA PRADESH",Agriculture,"Packaging labourers, agriculture
",234.71,211.25
1583,2024-2025,Mar,"MADHYA PRADESH",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",265.38,230.08
1584,2024-2025,Mar,"MADHYA PRADESH",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",290.31,250.00
1585,2024-2025,Mar,MAHARASHTRA,Agriculture,"Ploughing/Tilling workers",430.00,320.00
1586,2024-2025,Mar,MAHARASHTRA,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",401.33,293.41
1587,2024-2025,Mar,MAHARASHTRA,Agriculture,"Harvesting/Winnowing/Threshing workers
",412.86,300.00
1588,2024-2025,Mar,MAHARASHTRA,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",339.29,285.71
1589,2024-2025,Mar,MAHARASHTRA,Agriculture,"Horticulture workers (including nursery growers)
",419.23,296.15
1590,2024-2025,Mar,MAHARASHTRA,Agriculture,"Fishermen-inland
",@,-
1591,2024-2025,Mar,MAHARASHTRA,Agriculture,"Fishermen-coastal/deep-sea
",@,@
1592,2024-2025,Mar,MAHARASHTRA,Agriculture,"Loggers and wood cutters
",466.78,370.67
1593,2024-2025,Mar,MAHARASHTRA,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",322.36,285.56
1594,2024-2025,Mar,MAHARASHTRA,Agriculture,"Packaging labourers, agriculture
",351.25,257.14
1595,2024-2025,Mar,MAHARASHTRA,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",353.04,248.12
1596,2024-2025,Mar,MAHARASHTRA,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",396.67,267.14
1597,2025-2026,Mar,MAHARASHTRA,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",374.37,262.11
1598,2025-2026,Mar,MAHARASHTRA,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",458.06,344
1599,2025-2026,Mar,MAHARASHTRA,Agriculture,"Ploughing/Tilling workers",431.4,370
1600,2025-2026,Mar,MAHARASHTRA,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",405.81,308.14
1601,2025-2026,Mar,MAHARASHTRA,Agriculture,"Harvesting/Winnowing/Threshing workers
",423.68,325
1602,2025-2026,Mar,MAHARASHTRA,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",360,310.87
1603,2025-2026,Mar,MAHARASHTRA,Agriculture,"Horticulture workers (including nursery growers)
",443.95,326.27
1604,2025-2026,Mar,MAHARASHTRA,Agriculture,"Fishermen-inland
",523.8099999999999,@
1605,2025-2026,Mar,MAHARASHTRA,Agriculture,"Fishermen-coastal/deep-sea
",-,-
1606,2025-2026,Mar,MAHARASHTRA,Agriculture,"Loggers and wood cutters
",501.73,-
1607,2025-2026,Mar,MAHARASHTRA,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",331.36,320.83
1608,2025-2026,Mar,MAHARASHTRA,Agriculture,"Packaging labourers, agriculture
",387.5,318.18
1609,2025-2026,Mar,"MANIPUR
",Agriculture,"Ploughing/Tilling workers",636,@
1610,2025-2026,Mar,"MANIPUR
",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",635,525
1611,2025-2026,Mar,"MANIPUR
",Agriculture,"Harvesting/Winnowing/Threshing workers
",630,525
1612,2025-2026,Mar,"MANIPUR
",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",425,395
1613,2025-2026,Mar,"MANIPUR
",Agriculture,"Horticulture workers (including nursery growers)
",425,395
1614,2025-2026,Mar,"MANIPUR
",Agriculture,"Fishermen-inland
",390,360
1615,2025-2026,Mar,"MANIPUR
",Agriculture,"Fishermen-coastal/deep-sea
",-,-
1616,2025-2026,Mar,"MANIPUR
",Agriculture,"Loggers and wood cutters
",490,-
1617,2025-2026,Mar,"MANIPUR
",Agriculture,"Packaging labourers, agriculture
",-,-
1618,2025-2026,Mar,"MANIPUR
",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",-,-
1619,2025-2026,Mar,"MANIPUR
",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",650,650
1620,2025-2026,Mar,"MANIPUR
",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",425.00,415.00
1621,2024-2025,Mar,"MANIPUR
",Agriculture,"Ploughing/Tilling workers",358.57,-
1622,2024-2025,Mar,"MANIPUR
",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",341.67,315.62
1623,2024-2025,Mar,"MANIPUR
",Agriculture,"Harvesting/Winnowing/Threshing workers
",332.86,324.29
1624,2024-2025,Mar,"MANIPUR
",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",-,-
1625,2024-2025,Mar,"MANIPUR
",Agriculture,"Horticulture workers (including nursery growers)
",@,@
1626,2024-2025,Mar,"MANIPUR
",Agriculture,"Fishermen-inland
",-,-
1627,2024-2025,Mar,"MANIPUR
",Agriculture,"Fishermen-coastal/deep-sea
",-,-
1628,2024-2025,Mar,"MANIPUR
",Agriculture,"Loggers and wood cutters
",@,-
1629,2024-2025,Mar,"MANIPUR
",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",338.00,-
1630,2024-2025,Mar,"MANIPUR
",Agriculture,"Packaging labourers, agriculture
",@,-
1631,2024-2025,Mar,"MANIPUR
",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",@,-
1632,2024-2025,Mar,"MANIPUR
",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",@,-
1633,2024-2025,Mar,"MEGHALAYA
",Agriculture,"Ploughing/Tilling workers",374.29,204.00
1634,2024-2025,Mar,"MEGHALAYA
",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",343.50,210.75
1635,2024-2025,Mar,"MEGHALAYA
",Agriculture,"Harvesting/Winnowing/Threshing workers
",353.88,204.88
1636,2024-2025,Mar,"MEGHALAYA
",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",@,@
1637,2024-2025,Mar,"MEGHALAYA
",Agriculture,"Horticulture workers (including nursery growers)
",@,@
1638,2024-2025,Mar,"MEGHALAYA
",Agriculture,"Fishermen-inland
",-,-
1639,2024-2025,Mar,"MEGHALAYA
",Agriculture,"Fishermen-coastal/deep-sea
",-,-
1640,2024-2025,Mar,"MEGHALAYA
",Agriculture,"Loggers and wood cutters
",@,-
1641,2024-2025,Mar,"MEGHALAYA
",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",313.88,@
1642,2024-2025,Mar,"MEGHALAYA
",Agriculture,"Packaging labourers, agriculture
",@,-
1643,2024-2025,Mar,"MEGHALAYA
",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",335.17,203.17
1644,2024-2025,Mar,"MEGHALAYA
",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",-,-
1645,2025-2026,Mar,"MEGHALAYA
",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",@,@
1646,2025-2026,Mar,"MEGHALAYA
",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",-,-
1647,2025-2026,Mar,"MEGHALAYA
",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",@,@
1648,2025-2026,Mar,"MEGHALAYA
",Agriculture,"Ploughing/Tilling workers",446.43,@
1649,2025-2026,Mar,"MEGHALAYA
",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",473.57,322.14
1650,2025-2026,Mar,"MEGHALAYA
",Agriculture,"Harvesting/Winnowing/Threshing workers
",481.75,309.82
1651,2025-2026,Mar,"MEGHALAYA
",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",-,-
1652,2025-2026,Mar,"MEGHALAYA
",Agriculture,"Horticulture workers (including nursery growers)
",@,@
1653,2025-2026,Mar,"MEGHALAYA
",Agriculture,"Fishermen-inland
",-,-
1654,2025-2026,Mar,"MEGHALAYA
",Agriculture,"Fishermen-coastal/deep-sea
",-,-
1655,2025-2026,Mar,"MEGHALAYA
",Agriculture,"Loggers and wood cutters
",434.9,-
1656,2025-2026,Mar,"MEGHALAYA
",Agriculture,"Packaging labourers, agriculture
",-,-
1657,2025-2026,Mar,"ODISHA
",Agriculture,"Ploughing/Tilling workers",513.25,-
1658,2025-2026,Mar,"ODISHA
",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",483.74,408
1659,2025-2026,Mar,"ODISHA
",Agriculture,"Harvesting/Winnowing/Threshing workers
",408.33,334.52
1660,2025-2026,Mar,"ODISHA
",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",-,-
1661,2025-2026,Mar,"ODISHA
",Agriculture,"Horticulture workers (including nursery growers)
",378.89,300.48
1662,2025-2026,Mar,"ODISHA
",Agriculture,"Fishermen-inland
",403.13,-
1663,2025-2026,Mar,"ODISHA
",Agriculture,"Fishermen-coastal/deep-sea
",-,-
1664,2025-2026,Mar,"ODISHA
",Agriculture,"Loggers and wood cutters
",498.51,-
1665,2025-2026,Mar,"ODISHA
",Agriculture,"Packaging labourers, agriculture
",341.18,@
1666,2025-2026,Mar,"ODISHA
",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",418.44,395.33
1667,2025-2026,Mar,"ODISHA
",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",420,-
1668,2025-2026,Mar,"ODISHA
",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",351.58,315.45
1669,2024-2025,Mar,"ODISHA
",Agriculture,"Ploughing/Tilling workers",384.87,317.62
1670,2024-2025,Mar,"ODISHA
",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",394.62,339.31
1671,2024-2025,Mar,"ODISHA
",Agriculture,"Harvesting/Winnowing/Threshing workers
",392.18,346.67
1672,2024-2025,Mar,"ODISHA
",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",300.00,@
1673,2024-2025,Mar,"ODISHA
",Agriculture,"Horticulture workers (including nursery growers)
",@,@
1674,2024-2025,Mar,"ODISHA
",Agriculture,"Fishermen-inland
",254.00,-
1675,2024-2025,Mar,"ODISHA
",Agriculture,"Fishermen-coastal/deep-sea
",@,-
1676,2024-2025,Mar,"ODISHA
",Agriculture,"Loggers and wood cutters
",326.19,-
1677,2024-2025,Mar,"ODISHA
",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",272.67,205.00
1678,2024-2025,Mar,"ODISHA
",Agriculture,"Packaging labourers, agriculture
",@,-
1679,2024-2025,Mar,"ODISHA
",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",389.42,338.49
1680,2024-2025,Mar,"ODISHA
",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",291.11,@
1681,2024-2025,Mar,"PUNJAB
",Agriculture,"Ploughing/Tilling workers",449.56,@
1682,2024-2025,Mar,"PUNJAB
",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",428.50,373.67
1683,2024-2025,Mar,"PUNJAB
",Agriculture,"Harvesting/Winnowing/Threshing workers
",442.91,@
1684,2024-2025,Mar,"PUNJAB
",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",394.00,@
1685,2024-2025,Mar,"PUNJAB
",Agriculture,"Horticulture workers (including nursery growers)
",@,-
1686,2024-2025,Mar,"PUNJAB
",Agriculture,"Fishermen-inland
",-,-
1687,2024-2025,Mar,"PUNJAB
",Agriculture,"Fishermen-coastal/deep-sea
",-,-
1688,2024-2025,Mar,"PUNJAB
",Agriculture,"Loggers and wood cutters
",@,-
1689,2024-2025,Mar,"PUNJAB
",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",357.61,@
1690,2024-2025,Mar,"PUNJAB
",Agriculture,"Packaging labourers, agriculture
",403.33,@
1691,2024-2025,Mar,"PUNJAB
",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",422.67,-
1692,2024-2025,Mar,"PUNJAB
",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",414.29,-
1693,2025-2026,Mar,"PUNJAB
",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",453.33,@
1694,2025-2026,Mar,"PUNJAB
",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",478.42,-
1695,2025-2026,Mar,"PUNJAB
",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",421.67,@
1696,2025-2026,Mar,"PUNJAB
",Agriculture,"Ploughing/Tilling workers",484.55,@
1697,2025-2026,Mar,"PUNJAB
",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",478.18,438.75
1698,2025-2026,Mar,"PUNJAB
",Agriculture,"Harvesting/Winnowing/Threshing workers
",490,441.43
1699,2025-2026,Mar,"PUNJAB
",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",430,@
1700,2025-2026,Mar,"PUNJAB
",Agriculture,"Horticulture workers (including nursery growers)
",@,-
1701,2025-2026,Mar,"PUNJAB
",Agriculture,"Fishermen-inland
",-,-
1702,2025-2026,Mar,"PUNJAB
",Agriculture,"Fishermen-coastal/deep-sea
",-,-
1703,2025-2026,Mar,"PUNJAB
",Agriculture,"Loggers and wood cutters
",@,-
1704,2025-2026,Mar,"PUNJAB
",Agriculture,"Packaging labourers, agriculture
",458.75,@
1705,2025-2026,Mar,RAJASTHAN,Agriculture,"Ploughing/Tilling workers",537.5,412.86
1706,2025-2026,Mar,RAJASTHAN,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",465.48,383.33
1707,2025-2026,Mar,RAJASTHAN,Agriculture,"Harvesting/Winnowing/Threshing workers
",481.11,438.02
1708,2025-2026,Mar,RAJASTHAN,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",427,395
1709,2025-2026,Mar,RAJASTHAN,Agriculture,"Horticulture workers (including nursery growers)
",426,@
1710,2025-2026,Mar,RAJASTHAN,Agriculture,"Fishermen-inland
",-,-
1711,2025-2026,Mar,RAJASTHAN,Agriculture,"Fishermen-coastal/deep-sea
",-,-
1712,2025-2026,Mar,RAJASTHAN,Agriculture,"Loggers and wood cutters
",505.79,-
1713,2025-2026,Mar,RAJASTHAN,Agriculture,"Packaging labourers, agriculture
",397.86,416.67
1714,2025-2026,Mar,RAJASTHAN,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",438.97,368.18
1715,2025-2026,Mar,RAJASTHAN,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",475.38,-
1716,2025-2026,Mar,RAJASTHAN,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",410.77,@
1717,2024-2025,Mar,RAJASTHAN,Agriculture,"Ploughing/Tilling workers",405.00,@
1718,2024-2025,Mar,RAJASTHAN,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",420.00,384.44
1719,2024-2025,Mar,RAJASTHAN,Agriculture,"Harvesting/Winnowing/Threshing workers
",478.46,439.17
1720,2024-2025,Mar,RAJASTHAN,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",@,@
1721,2024-2025,Mar,RAJASTHAN,Agriculture,"Horticulture workers (including nursery growers)
",@,-
1722,2024-2025,Mar,RAJASTHAN,Agriculture,"Fishermen-inland
",-,-
1723,2024-2025,Mar,RAJASTHAN,Agriculture,"Fishermen-coastal/deep-sea
",-,-
1724,2024-2025,Mar,RAJASTHAN,Agriculture,"Loggers and wood cutters
",408.33,-
1725,2024-2025,Mar,RAJASTHAN,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",@,@
1726,2024-2025,Mar,RAJASTHAN,Agriculture,"Packaging labourers, agriculture
",@,@
1727,2024-2025,Mar,RAJASTHAN,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",413.75,365.38
1728,2024-2025,Mar,RAJASTHAN,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",431.11,@
1729,2024-2025,Mar,"TAMIL NADU",Agriculture,"Ploughing/Tilling workers",712.71,@
1730,2024-2025,Mar,"TAMIL NADU",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",605.00,397.88
1731,2024-2025,Mar,"TAMIL NADU",Agriculture,"Harvesting/Winnowing/Threshing workers
",585.28,396.14
1732,2024-2025,Mar,"TAMIL NADU",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",@,349.05
1733,2024-2025,Mar,"TAMIL NADU",Agriculture,"Horticulture workers (including nursery growers)
",@,@
1734,2024-2025,Mar,"TAMIL NADU",Agriculture,"Fishermen-inland
",-,-
1735,2024-2025,Mar,"TAMIL NADU",Agriculture,"Fishermen-coastal/deep-sea
",-,-
1736,2024-2025,Mar,"TAMIL NADU",Agriculture,"Loggers and wood cutters
",642.95,@
1737,2024-2025,Mar,"TAMIL NADU",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",701.81,@
1738,2024-2025,Mar,"TAMIL NADU",Agriculture,"Packaging labourers, agriculture
",@,@
1739,2024-2025,Mar,"TAMIL NADU",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",582.80,372.37
1740,2024-2025,Mar,"TAMIL NADU",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",710.88,@
1741,2025-2026,Mar,"TAMIL NADU",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",639.66,385.73
1742,2025-2026,Mar,"TAMIL NADU",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",902.6799999999999,-
1743,2025-2026,Mar,"TAMIL NADU",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",622.68,361.90
1744,2025-2026,Mar,"TAMIL NADU",Agriculture,"Ploughing/Tilling workers",753.89,@
1745,2025-2026,Mar,"TAMIL NADU",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",719.21,457.51
1746,2025-2026,Mar,"TAMIL NADU",Agriculture,"Harvesting/Winnowing/Threshing workers
",657.3099999999999,433.65
1747,2025-2026,Mar,"TAMIL NADU",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",@,520.71
1748,2025-2026,Mar,"TAMIL NADU",Agriculture,"Horticulture workers (including nursery growers)
",@,410.56
1749,2025-2026,Mar,"TAMIL NADU",Agriculture,"Fishermen-inland
",@,-
1750,2025-2026,Mar,"TAMIL NADU",Agriculture,"Fishermen-coastal/deep-sea
",-,-
1751,2025-2026,Mar,"TAMIL NADU",Agriculture,"Loggers and wood cutters
",736.9,-
1752,2025-2026,Mar,"TAMIL NADU",Agriculture,"Packaging labourers, agriculture
",@,@
1753,2025-2026,Mar,TRIPURA,Agriculture,"Ploughing/Tilling workers",520,-
1754,2025-2026,Mar,TRIPURA,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",520,-
1755,2025-2026,Mar,TRIPURA,Agriculture,"Harvesting/Winnowing/Threshing workers
",520,-
1756,2025-2026,Mar,TRIPURA,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",-,-
1757,2025-2026,Mar,TRIPURA,Agriculture,"Horticulture workers (including nursery growers)
",@,-
1758,2025-2026,Mar,TRIPURA,Agriculture,"Fishermen-inland
",-,-
1759,2025-2026,Mar,TRIPURA,Agriculture,"Fishermen-coastal/deep-sea
",-,-
1760,2025-2026,Mar,TRIPURA,Agriculture,"Loggers and wood cutters
",590,-
1761,2025-2026,Mar,TRIPURA,Agriculture,"Packaging labourers, agriculture
",-,-
1762,2025-2026,Mar,TRIPURA,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",490,-
1763,2025-2026,Mar,TRIPURA,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",-,-
1764,2025-2026,Mar,TRIPURA,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",420.00,-
1765,2024-2025,Mar,TRIPURA,Agriculture,"Ploughing/Tilling workers",420.00,-
1766,2024-2025,Mar,TRIPURA,Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",420.00,-
1767,2024-2025,Mar,TRIPURA,Agriculture,"Harvesting/Winnowing/Threshing workers
",431.11,-
1768,2024-2025,Mar,TRIPURA,Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",-,-
1769,2024-2025,Mar,TRIPURA,Agriculture,"Horticulture workers (including nursery growers)
",-,-
1770,2024-2025,Mar,TRIPURA,Agriculture,"Fishermen-inland
",-,-
1771,2024-2025,Mar,TRIPURA,Agriculture,"Fishermen-coastal/deep-sea
",-,-
1772,2024-2025,Mar,TRIPURA,Agriculture,"Loggers and wood cutters
",502.22,-
1773,2024-2025,Mar,TRIPURA,Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",320.00,-
1774,2024-2025,Mar,TRIPURA,Agriculture,"Packaging labourers, agriculture
",-,-
1775,2024-2025,Mar,TRIPURA,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",401.11,-
1776,2024-2025,Mar,TRIPURA,Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",-,-
1777,2024-2025,Mar,"UTTAR PRADESH",Agriculture,"Ploughing/Tilling workers",369.21,325.77
1778,2024-2025,Mar,"UTTAR PRADESH",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",378.42,333.12
1779,2024-2025,Mar,"UTTAR PRADESH",Agriculture,"Harvesting/Winnowing/Threshing workers
",391.70,349.49
1780,2024-2025,Mar,"UTTAR PRADESH",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",360.00,312.50
1781,2024-2025,Mar,"UTTAR PRADESH",Agriculture,"Horticulture workers (including nursery growers)
",@,@
1782,2024-2025,Mar,"UTTAR PRADESH",Agriculture,"Fishermen-inland
",-,-
1783,2024-2025,Mar,"UTTAR PRADESH",Agriculture,"Fishermen-coastal/deep-sea
",-,-
1784,2024-2025,Mar,"UTTAR PRADESH",Agriculture,"Loggers and wood cutters
",407.06,@
1785,2024-2025,Mar,"UTTAR PRADESH",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",331.67,@
1786,2024-2025,Mar,"UTTAR PRADESH",Agriculture,"Packaging labourers, agriculture
",330.00,304.00
1787,2024-2025,Mar,"UTTAR PRADESH",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",363.39,304.30
1788,2024-2025,Mar,"UTTAR PRADESH",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",406.88,@
1789,2025-2026,Mar,"UTTAR PRADESH",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",400.94,337.57
1790,2025-2026,Mar,"UTTAR PRADESH",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",494.67,@
1791,2025-2026,Mar,"UTTAR PRADESH",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",408.75,414.17
1792,2025-2026,Mar,"UTTAR PRADESH",Agriculture,"Ploughing/Tilling workers",441.76,440.83
1793,2025-2026,Mar,"UTTAR PRADESH",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",391.9,335.49
1794,2025-2026,Mar,"UTTAR PRADESH",Agriculture,"Harvesting/Winnowing/Threshing workers
",390,330.68
1795,2025-2026,Mar,"UTTAR PRADESH",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",340,290
1796,2025-2026,Mar,"UTTAR PRADESH",Agriculture,"Horticulture workers (including nursery growers)
",430,357.86
1797,2025-2026,Mar,"UTTAR PRADESH",Agriculture,"Fishermen-inland
",568.33,-
1798,2025-2026,Mar,"UTTAR PRADESH",Agriculture,"Fishermen-coastal/deep-sea
",-,-
1799,2025-2026,Mar,"UTTAR PRADESH",Agriculture,"Loggers and wood cutters
",524.87,-
1800,2025-2026,Mar,"UTTAR PRADESH",Agriculture,"Packaging labourers, agriculture
",421.05,377.5
1801,2025-2026,Mar,"WEST BENGAL",Agriculture,"Ploughing/Tilling workers",465.62,347.52
1802,2025-2026,Mar,"WEST BENGAL",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",415.06,379.04
1803,2025-2026,Mar,"WEST BENGAL",Agriculture,"Harvesting/Winnowing/Threshing workers
",421.69,384.36
1804,2025-2026,Mar,"WEST BENGAL",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",343.24,@
1805,2025-2026,Mar,"WEST BENGAL",Agriculture,"Horticulture workers (including nursery growers)
",384.87,309.71
1806,2025-2026,Mar,"WEST BENGAL",Agriculture,"Fishermen-inland
",601.37,-
1807,2025-2026,Mar,"WEST BENGAL",Agriculture,"Fishermen-coastal/deep-sea
",-,-
1808,2025-2026,Mar,"WEST BENGAL",Agriculture,"Loggers and wood cutters
",532.48,-
1809,2025-2026,Mar,"WEST BENGAL",Agriculture,"Packaging labourers, agriculture
",421.01,338.53
1810,2025-2026,Mar,"WEST BENGAL",Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)
",423.81,356.77
1811,2025-2026,Mar,"WEST BENGAL",Agriculture,"Plant protection workers (applying pesticides, treating seeds, etc.
",480,311.29
1812,2025-2026,Mar,"WEST BENGAL",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",373.23,@
1813,2024-2025,Mar,"WEST BENGAL",Agriculture,"Ploughing/Tilling workers",444.56,@
1814,2024-2025,Mar,"WEST BENGAL",Agriculture,"Sowing(including Planting/Transplanting/ Weeding) workers)
",355.24,309.28
1815,2024-2025,Mar,"WEST BENGAL",Agriculture,"Harvesting/Winnowing/Threshing workers
",362.51,317.40
1816,2024-2025,Mar,"WEST BENGAL",Agriculture,"Picking workers (including Tea, Cotton, Tobacco and other commercial crops)
",-,@
1817,2024-2025,Mar,"WEST BENGAL",Agriculture,"Horticulture workers (including nursery growers)
",401.83,412.00
1818,2024-2025,Mar,"WEST BENGAL",Agriculture,"Fishermen-inland
",560.00,-
1819,2024-2025,Mar,"WEST BENGAL",Agriculture,"Fishermen-coastal/deep-sea
",@,-
1820,2024-2025,Mar,"WEST BENGAL",Agriculture,"Loggers and wood cutters
",487.11,-
1821,2024-2025,Mar,"WEST BENGAL",Agriculture,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)
",311.15,274.44
